name,imageUrl,productUrl,priceRegular,priceSale,discountPercent
Brake Cleaner,https://www.princessauto.com//ccstore/v1/images/?source=/file/v4351531558120885942/products/8201907_A0CG_00_01.jpg&height=300&width=300&_c=1765949774400,https://www.princessauto.com/en/brake-cleaner/product/PA0008201907,,,
4.3 out of 5 stars. 48 reviews,,https://www.princessauto.com/en/brake-cleaner/product/PA0008201907?ratings=reviews,,,
Kitchen/Garage Fire Extinguisher,https://www.princessauto.com//ccstore/v1/images/?source=/file/v4059541924957807798/products/8806218_A0CG_00_01.jpg&height=300&width=300&_c=1765949774400,https://www.princessauto.com/en/kitchen-garage-fire-extinguisher/product/PA0008806218,,,
4.2 out of 5 stars. 10 reviews,,https://www.princessauto.com/en/kitchen-garage-fire-extinguisher/product/PA0008806218?ratings=reviews,,,
Large Grain/Split Cowhide Gloves,https://www.princessauto.com//ccstore/v1/images/?source=/file/v7830339934811516389/products/9509662_A0CG_00_01.jpg&height=300&width=300&_c=1765949774401,https://www.princessauto.com/en/large-grain-split-cowhide-gloves/product/PA0009509662,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/large-grain-split-cowhide-gloves/product/PA0009509662?ratings=reviews,,,
6 pc Titanium Saw Drill Bit Set,https://www.princessauto.com//ccstore/v1/images/?source=/file/v4535184899230291642/products/8999989_A0CG_00_01.jpg&height=300&width=300&_c=1765949774401,https://www.princessauto.com/en/6-pc-titanium-saw-drill-bit-set/product/PA0008999989,,,
4.4 out of 5 stars. 13 reviews,,https://www.princessauto.com/en/6-pc-titanium-saw-drill-bit-set/product/PA0008999989?ratings=reviews,,,
3 pc Pocket Precision Reference Cards,https://www.princessauto.com//ccstore/v1/images/?source=/file/v443136448289064514/products/9513342_A0CG_00_01.jpg&height=300&width=300&_c=1765949774401,https://www.princessauto.com/en/3-pc-pocket-precision-reference-cards/product/PA0009513342,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/3-pc-pocket-precision-reference-cards/product/PA0009513342?ratings=reviews,,,
Utility Sleds,https://www.princessauto.com/ccstore/v1/images/?source=/file/v6869687890196496040/products/8948986_A0CG_00_01.jpg&height=360&width=360&_c=1765949774401,https://www.princessauto.com/en/utility-sleds/product/PA1000003690,,,
4.6 out of 5 stars. 41 reviews,,https://www.princessauto.com/en/utility-sleds/product/PA1000003690?ratings=reviews,,,
Small Wood Stove,https://www.princessauto.com//ccstore/v1/images/?source=/file/v1779095842646492878/products/9276783_A0CG_00_01.jpg&height=300&width=300&_c=1765949774401,https://www.princessauto.com/en/small-wood-stove/product/PA0009276783,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/small-wood-stove/product/PA0009276783?ratings=reviews,,,
6 pc Impact Socket Set,https://www.princessauto.com//ccstore/v1/images/?source=/file/v1768292115199571714/products/9279381_A0CG_00_01.jpg&height=300&width=300&_c=1765949774401,https://www.princessauto.com/en/6-pc-impact-socket-set/product/PA0009279381,,,
5.0 out of 5 stars. 1 review,,https://www.princessauto.com/en/6-pc-impact-socket-set/product/PA0009279381?ratings=reviews,,,
Infrared Body Thermometer,https://www.princessauto.com//ccstore/v1/images/?source=/file/v6779676236907077579/products/9522640_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/infrared-body-thermometer/product/PA0009522640,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/infrared-body-thermometer/product/PA0009522640?ratings=reviews,,,
Self-Venting Gas Cans,https://www.princessauto.com//ccstore/v1/images/?source=/file/v8046819226995167231/products/8237869_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/self-venting-gas-cans/product/PA1000003597,,,
4.8 out of 5 stars. 98 reviews,,https://www.princessauto.com/en/self-venting-gas-cans/product/PA1000003597?ratings=reviews,,,
12 pk Double-Ended 1/8 in. Titanium Drill Bits,https://www.princessauto.com//ccstore/v1/images/?source=/file/v407422033456297418/products/8721367_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/12-pk-double-ended-1-8-in-titanium-drill-bits/product/PA0008721367,,,
4.6 out of 5 stars. 16 reviews,,https://www.princessauto.com/en/12-pk-double-ended-1-8-in-titanium-drill-bits/product/PA0008721367?ratings=reviews,,,
150-Count Pet Waste Bags,https://www.princessauto.com//ccstore/v1/images/?source=/file/v4353813201498107789/products/9509498_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/150-count-pet-waste-bags/product/PA0009509498,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/150-count-pet-waste-bags/product/PA0009509498?ratings=reviews,,,
"1,600A Li-ion Portable Jump Starter/USB Power Bank",https://www.princessauto.com//ccstore/v1/images/?source=/file/v1576826397448331859/products/9143462_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/1600a-li-ion-portable-jump-starter-usb-power-bank/product/PA0009143462,,,
4.5 out of 5 stars. 158 reviews,,https://www.princessauto.com/en/1600a-li-ion-portable-jump-starter-usb-power-bank/product/PA0009143462?ratings=reviews,,,
Large Fast-Fill Funnel,https://www.princessauto.com//ccstore/v1/images/?source=/file/v3063851707902911632/products/9500331_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/large-fast-fill-funnel/product/PA0009500331,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/large-fast-fill-funnel/product/PA0009500331?ratings=reviews,,,
12 in. Wrecking Bar,https://www.princessauto.com//ccstore/v1/images/?source=/file/v3849847463157006673/products/9509647_A0CG_00_01.jpg&height=300&width=300&_c=1765949774402,https://www.princessauto.com/en/12-in-wrecking-bar/product/PA0009509647,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/12-in-wrecking-bar/product/PA0009509647?ratings=reviews,,,
3/8 in. x 50 ft Dual-Arm Air Hose Reel,https://www.princessauto.com//ccstore/v1/images/?source=/file/v614128668641950042/products/9476870_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/3-8-in-x-50-ft-dual-arm-air-hose-reel/product/PA0009476870,,,
5.0 out of 5 stars. 1 review,,https://www.princessauto.com/en/3-8-in-x-50-ft-dual-arm-air-hose-reel/product/PA0009476870?ratings=reviews,,,
4.5 kg Traction Aid Rock,https://www.princessauto.com//ccstore/v1/images/?source=/file/v592481146802526641/products/9323361_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/45-kg-traction-aid-rock/product/PA0009323361,,,
4.3 out of 5 stars. 7 reviews,,https://www.princessauto.com/en/45-kg-traction-aid-rock/product/PA0009323361?ratings=reviews,,,
6 pk 1-7/8 in. Alligator Clips,https://www.princessauto.com//ccstore/v1/images/?source=/file/v4230956163790343446/products/4210784_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/6-pk-1-7-8-in-alligator-clips/product/PA0004210784,,,
5.0 out of 5 stars. 1 review,,https://www.princessauto.com/en/6-pk-1-7-8-in-alligator-clips/product/PA0004210784?ratings=reviews,,,
24 pc Rubber Bungee Cord Set,https://www.princessauto.com//ccstore/v1/images/?source=/file/v7354332713438040367/products/9292855_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/24-pc-rubber-bungee-cord-set/product/PA0009292855,,,
4.0 out of 5 stars. 1 review,,https://www.princessauto.com/en/24-pc-rubber-bungee-cord-set/product/PA0009292855?ratings=reviews,,,
Double-Loop Carabiner,https://www.princessauto.com//ccstore/v1/images/?source=/file/v8107684672391566502/products/9513821_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/double-loop-carabiner/product/PA0009513821,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/double-loop-carabiner/product/PA0009513821?ratings=reviews,,,
15A Tamper-Resistant Outlet with 2 USB Ports,https://www.princessauto.com//ccstore/v1/images/?source=/file/v6326556130701084653/products/9513011_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/15a-tamper-resistant-outlet-with-2-usb-ports/product/PA0009513011,,,
4.0 out of 5 stars. 1 review,,https://www.princessauto.com/en/15a-tamper-resistant-outlet-with-2-usb-ports/product/PA0009513011?ratings=reviews,,,
6 in. Adjustable Black-Chrome-Plated Blemished Wrench,https://www.princessauto.com//ccstore/v1/images/?source=/file/v3397669214100069551/products/9420399_A0CG_00_01.jpg&height=300&width=300&_c=1765949774403,https://www.princessauto.com/en/6-in-adjustable-black-chrome-plated-blemished-wrench/product/PA0009420399,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/6-in-adjustable-black-chrome-plated-blemished-wrench/product/PA0009420399?ratings=reviews,,,
Heavy Duty Poly Tarps,https://www.princessauto.com//ccstore/v1/images/?source=/file/v273636760837465763/products/8924706_A0CG_00_01.jpg&height=300&width=300&_c=1765949774404,https://www.princessauto.com/en/heavy-duty-poly-tarps/product/PA1000002379,,,
4.1 out of 5 stars. 88 reviews,,https://www.princessauto.com/en/heavy-duty-poly-tarps/product/PA1000002379?ratings=reviews,,,
8 in. Adjustable Black-Chrome-Plated Blemished Wrench,https://www.princessauto.com//ccstore/v1/images/?source=/file/v1733455684586991929/products/9420407_A0CG_00_01.jpg&height=300&width=300&_c=1765949774404,https://www.princessauto.com/en/8-in-adjustable-black-chrome-plated-blemished-wrench/product/PA0009420407,,,
0.0 out of 5 stars.  ,,https://www.princessauto.com/en/8-in-adjustable-black-chrome-plated-blemished-wrench/product/PA0009420407?ratings=reviews,,,
3 pc Hinge Drill Bit Set,https://www.princessauto.com//ccstore/v1/images/?source=/file/v4334579689607662679/products/9023052_A0CG_00_01.jpg&height=300&width=300&_c=1765949774404,https://www.princessauto.com/en/3-pc-hinge-drill-bit-set/product/PA0009023052,,,
4.2 out of 5 stars. 6 reviews,,https://www.princessauto.com/en/3-pc-hinge-drill-bit-set/product/PA0009023052?ratings=reviews,,,
55-Sheet Blue Scott Shop Towel Roll,https://www.princessauto.com//ccstore/v1/images/?source=/file/v8727552556789241340/products/8964819_A0CG_00_01.jpg&height=300&width=300&_c=1765949774404,https://www.princessauto.com/en/55-sheet-blue-scott-shop-towel-roll/product/PA0008964819,,,
4.4 out of 5 stars. 153 reviews,,https://www.princessauto.com/en/55-sheet-blue-scott-shop-towel-roll/product/PA0008964819?ratings=reviews,,,
16.4 ft Double-Sided Foam Tape,https://www.princessauto.com//ccstore/v1/images/?source=/file/v6843025542552904243/products/9172750_A0CG_00_01.jpg&height=300&width=300&_c=1765949774404,https://www.princessauto.com/en/164-ft-double-sided-foam-tape/product/PA0009172750,,,
4.5 out of 5 stars. 4 reviews,,https://www.princessauto.com/en/164-ft-double-sided-foam-tape/product/PA0009172750?ratings=reviews,,,
